站点,条目数,含正文,正文字数,图片数
Psychology Today (今日心理学),150,150,845986,149
Verywell Mind (非常健康心理),66,65,615949,97
Simply Psychology (简明心理学),64,64,348031,63
APA.org (美国心理学会),10,10,70546,0
BPS (英国心理学会),1118,1108,2557876,8
NIMH (美国国家心理卫生研究院),236,236,1226398,0
Psychological Science (心理科学),101,101,1098961,167
Psychology News (心理新闻),20,16,112820,20
北京大学心理与认知科学学院,71,10,24258,7
北京师范大学心理学部,69,8,16690,29
华南师范大学心理学院,60,60,57990,185
中国轻工业出版社·心理,61,61,78000,448
华东师范大学出版社·心理,8,8,4800,8
中科院心理研究所,57,15,7641,273
壹心理,100,100,68513,12
简单心理,40,0,0,40
人民邮电出版社,8,3,4705,105
中国心理学会,100,94,149186,0
武志红心理,4,2,8,2
KnowYourself,2,0,0,0
北京师范大学出版社,2,0,0,0
曾奇峰心理,7,4,12714,18
微信公众号·频道抓取（6个号）,160,39,138759,21
微信公众号·定向抓取（2个号）,45,35,64391,0
合计,2559,2189,7504222,1652
